Pair_ID,Origin_ID,Destination_ID,Dist_along_grid_meters,Destination_Rank
3.80025E+23 6/13/18 8:21 - 3f0049000551353431383736 4/17/19 10:50,3.80025E+23 6/13/18 8:21 ,3f0049000551353431383736 4/17/19 10:50,6473.87917,35
3.80025E+23 6/13/18 8:21 - 2.90048E+23 6/19/18 14:55,3.80025E+23 6/13/18 8:21 ,2.90048E+23 6/19/18 14:55,6493.55266,36
3.80025E+23 6/13/18 8:21 - 4a003d001151363038393739 6/19/18 15:06,3.80025E+23 6/13/18 8:21 ,4a003d001151363038393739 6/19/18 15:06,6533.184442,37
3.80025E+23 6/13/18 8:21 - 36002b000247373334363431 4/17/19 9:26,3.80025E+23 6/13/18 8:21 ,36002b000247373334363431 4/17/19 9:26,6533.184442,38
3.80025E+23 6/13/18 8:21 - 26002b000f47373334363431 6/11/19 19:10,3.80025E+23 6/13/18 8:21 ,26002b000f47373334363431 6/11/19 19:10,7059.822189,39
3.80025E+23 6/13/18 8:21 - 2b002c001251363038393739 6/20/18 16:13,3.80025E+23 6/13/18 8:21 ,2b002c001251363038393739 6/20/18 16:13,7067.983386,40
3.80025E+23 6/13/18 8:21 - 420036000d47373334363431 4/15/19 18:30,3.80025E+23 6/13/18 8:21 ,420036000d47373334363431 4/15/19 18:30,7067.983386,41
3.80025E+23 6/13/18 8:21 - 2.00031E+23 4/15/19 19:18,3.80025E+23 6/13/18 8:21 ,2.00031E+23 4/15/19 19:18,7078.546688,42
3.80025E+23 6/13/18 8:21 - 3f0060001151363038393739 6/19/18 13:27,3.80025E+23 6/13/18 8:21 ,3f0060001151363038393739 6/19/18 13:27,7240.763218,43
3.80025E+23 6/13/18 8:21 - 290029000f47373334363431 4/23/19 19:43,3.80025E+23 6/13/18 8:21 ,290029000f47373334363431 4/23/19 19:43,7273.210383,44
3.80025E+23 6/13/18 8:21 - 3b0017000951343334363138 6/20/18 17:13,3.80025E+23 6/13/18 8:21 ,3b0017000951343334363138 6/20/18 17:13,7373.081103,45
3.80025E+23 6/13/18 8:21 - 4b0041001951353339373130 6/19/18 16:12,3.80025E+23 6/13/18 8:21 ,4b0041001951353339373130 6/19/18 16:12,7387.244905,46
3.80025E+23 6/13/18 8:21 - 3.4005E+23 6/14/18 17:07,3.80025E+23 6/13/18 8:21 ,3.4005E+23 6/14/18 17:07,7857.236605,47
3.80025E+23 6/13/18 8:21 - 3.5002E+23 5/9/19 15:44,3.80025E+23 6/13/18 8:21 ,3.5002E+23 5/9/19 15:44,7857.236605,48
3.80025E+23 6/13/18 8:21 - 54003b000e51353433323633 4/19/19 16:27,3.80025E+23 6/13/18 8:21 ,54003b000e51353433323633 4/19/19 16:27,7940.541537,49
3.80025E+23 6/13/18 8:21 - 4a004d001951353339373130 6/14/18 17:00,3.80025E+23 6/13/18 8:21 ,4a004d001951353339373130 6/14/18 17:00,7948.935717,50
3.80025E+23 6/13/18 8:21 - 4.10048E+23 6/14/18 9:30,3.80025E+23 6/13/18 8:21 ,4.10048E+23 6/14/18 9:30,8555.419893,51
3.80025E+23 6/13/18 8:21 - 34002b001251363038393739 6/14/18 9:22,3.80025E+23 6/13/18 8:21 ,34002b001251363038393739 6/14/18 9:22,8572.349083,52
3.80025E+23 6/13/18 8:21 - 260045000f47373334363431 4/17/19 20:50,3.80025E+23 6/13/18 8:21 ,260045000f47373334363431 4/17/19 20:50,8631.721214,53
3.80025E+23 6/13/18 8:21 - 4f004a001951353339373130 6/14/18 11:31,3.80025E+23 6/13/18 8:21 ,4f004a001951353339373130 6/14/18 11:31,9454.114463,54
3.80025E+23 6/13/18 8:21 - 3d0055001951353339373130 6/14/18 11:54,3.80025E+23 6/13/18 8:21 ,3d0055001951353339373130 6/14/18 11:54,9560.979878,55
3.80025E+23 6/13/18 8:21 - 2.20037E+23 4/16/19 21:37,3.80025E+23 6/13/18 8:21 ,2.20037E+23 4/16/19 21:37,9560.979878,56
3.80025E+23 6/13/18 8:21 - 270042000f47373334363431 4/16/19 15:13,3.80025E+23 6/13/18 8:21 ,270042000f47373334363431 4/16/19 15:13,9603.278804,57
3.80025E+23 6/13/18 8:21 - 2.40055E+23 6/19/18 17:25,3.80025E+23 6/13/18 8:21 ,2.40055E+23 6/19/18 17:25,9883.926325,58
3.80025E+23 6/13/18 8:21 - 33005a001251363038393739 6/20/18 18:38,3.80025E+23 6/13/18 8:21 ,33005a001251363038393739 6/20/18 18:38,10024.51668,59
3.80025E+23 6/13/18 8:21 - 5.50033E+23 6/20/18 18:56,3.80025E+23 6/13/18 8:21 ,5.50033E+23 6/20/18 18:56,10024.51668,60
